"","ensembl_gene_id","external_gene_name","description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","ENSG00000090382","LYZ","lysozyme",18.9794803269453,3.96450094868626,1.10368055539019,3.59207284147965,0.000328058116507843,0.00980233391630416
"2","ENSG00000110077","MS4A6A","membrane spanning 4-domains A6A",21.9520367093729,4.71579869170548,1.12240650773999,4.20150690430416,2.65144159411406e-05,0.00131898470219631
"3","ENSG00000162723","SLAMF9","SLAM family member 9",22.0676824412122,2.78884836592598,0.810121578575858,3.4425059641401,0.000576351155761482,0.015509238849336
"4","ENSG00000163563","MNDA","myeloid cell nuclear differentiation antigen",21.1073032264284,3.09307403607864,0.670446575033188,4.61345340741808,3.96033073038016e-06,0.000276113058421883
"5","ENSG00000231128",NA,NA,10.8958724262486,3.0848624750032,0.782369110755285,3.94297580591485,8.04767767356321e-05,0.00330637400133046
"6","ENSG00000232354","VIPR1-AS1","VIPR1 antisense RNA 1",23.5931398245877,2.57021271103958,0.608841188286481,4.22148297534398,2.42700288393829e-05,0.00122053046671498
"7","ENSG00000245330","DEPTOR-AS1","DEPTOR antisense RNA 1",18.0010045159697,2.63231202251486,0.499553189278789,5.26933283383729,1.36920498830184e-07,1.31258265701477e-05
"8","ENSG00000266976","ERVE-5","endogenous retrovirus group E member 5",21.5012784882347,4.20777402008598,1.14064572516587,3.68894033199844,0.000225190019129271,0.00742804210052574
"9","ENSG00000268777","","novel transcript, antisense to SIGLEC6",97.365335308464,2.88286711583388,0.337190754195206,8.54966240908532,1.23449050233464e-17,5.68050804649283e-15
"10","ENSG00000268804","LINC02132","long intergenic non-protein coding RNA 2132",16.4766038785577,2.99776396986402,0.962033636870532,3.11606980772071,0.00183278879948942,0.0375660474870849
